City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Udachnyy,RU,20.86,overcast clouds,66.4167,112.4,Severnoye Siyaniye
245,Yebaishou,CN,57.9,overcast clouds,41.3975,119.6408,Siji Home
247,Devonport,AU,47.98,overcast clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
248,Richards Bay,ZA,69.22,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
250,Kenai,US,46.09,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
257,Otterup,DK,53.38,clear sky,55.5153,10.3976,COZY AND PRIVATE ROOM. B&B
259,Yakeshi,CN,27.77,overcast clouds,49.2833,120.7333,Longhua Hotel
260,Homer,US,48.78,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
262,Taunggyi,MM,62.96,overcast clouds,20.7833,97.0333,True Treasure Hotel
263,Roma,US,65.62,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
265,Fairbanks,US,40.6,mist,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
266,Carballo,ES,65.62,overcast clouds,43.213,-8.691,Pazo do Souto
269,Broome,US,60.6,broken clouds,42.2506,-75.833,Chenango Valley State Park
270,Nuuk,GL,38.01,broken clouds,64.1835,-51.7216,Vandrehuset
274,Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
275,Cidreira,BR,63.81,broken clouds,-30.1811,-50.2056,Hotel Castelo
278,Baiyin,CN,47.19,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
281,Sovetskiy,RU,37.2,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
282,Galeana,MX,67.8,clear sky,24.8333,-100.0667,Mirador
284,Geraldton,AU,55.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
291,Muros,ES,64.83,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
292,Roald,NO,54.91,broken clouds,62.5833,6.1333,Flem Cabins
296,Boden,SE,50.0,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
297,Uberherrn,DE,54.88,broken clouds,49.2419,6.6984,Der Linslerhof
299,Stawell,AU,45.28,overcast clouds,-37.05,142.7667,Motel Stawell
301,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
302,Derzhavinsk,KZ,36.03,clear sky,51.1,66.3167,Ooo.khim Baza
303,Leninsk,RU,68.41,overcast clouds,48.7119,45.1994,Turbaza Odisseya
304,Lasa,IT,53.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
306,West Wendover,US,60.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
307,Mahanoro,MG,64.62,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
312,Marawi,PH,69.06,overcast clouds,7.9986,124.2928,Derogongan Residence
314,Emerald,AU,66.34,overcast clouds,-23.5333,148.1667,The Irish Village
316,Thurso,GB,55.85,overcast clouds,58.5927,-3.5259,Weigh Inn Hotel
322,Sergeyevka,KZ,33.49,clear sky,53.88,67.4158,Amina
323,Olafsvik,IS,45.34,moderate rain,64.8945,-23.7142,Hotel Olafsvik
325,Tekeli,KZ,42.73,clear sky,44.83,78.8239,Vuslat Tekeli
327,Port Elizabeth,ZA,65.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
328,Te Anau,NZ,39.99,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
329,Smithers,CA,57.52,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
332,Manakara,MG,65.19,clear sky,-22.1333,48.0167,La Residence Manakara
333,Verkhniye Kigi,RU,48.45,overcast clouds,55.4083,58.6044,"Gostinitsa-Restoran ""Versal'"""
334,Hervey Bay,AU,57.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
335,Maniitsoq,GL,35.83,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
336,Ilulissat,GL,33.82,broken clouds,69.2167,-51.1,Hotel Arctic
339,Haradok,BY,44.71,light rain,55.4624,29.9816,Sportivnyy Gorodok
343,Uzhur,RU,25.77,broken clouds,55.3036,89.8339,"Gostinitsa ""Turist"""
344,Port Macquarie,AU,46.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
345,Baker City,US,67.59,clear sky,44.7749,-117.8344,Bridge Street Inn
349,Chivay,PE,52.32,overcast clouds,-15.6383,-71.6011,Casa Andina Standard Colca
357,Esso,RU,26.92,broken clouds,55.9333,158.7,Paramushir Tur
359,Baruun-Urt,MN,23.16,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
361,Zhigansk,RU,20.01,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
362,Casin,RO,53.17,clear sky,46.2,26.75,Hanul Marisano
363,Burdur,TR,65.1,few clouds,37.7203,30.2908,Özeren Grand Hotel & Spa
368,Skibotn,NO,40.51,scattered clouds,69.3913,20.2679,Olderelv Camping
371,Kent,GB,57.13,clear sky,51.1667,0.6667,Chequers Inn
378,Taltal,CL,63.84,scattered clouds,-25.4,-70.4833,Residencial Karime
